[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:21.014823 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:21.014875 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:21.014945 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:21.015039 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:21.015116 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:21.015171 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:21.015245 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:21.015309 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:21.015388 File Chunk written: test.txt
[pearviewer/server/conf:GetConf] | INFO : conf.go:18: 2025/06/27 11:11:23.418705 Reading conf
[pearviewer/server/conf:GetConf] | INFO : conf.go:26: 2025/06/27 11:11:23.418759 Parsing json conf
[main:main] | INFO : main.go:19: 2025/06/27 11:11:23.418806 Conf loaded
[pearviewer/server/grpc:(*fileServer).UploadFile] | INFO : file.go:12: 2025/06/27 11:11:26.343378 New Upload File Streaming started.
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.343582 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.343687 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.343747 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.343797 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.343832 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.343895 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.343934 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.343995 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.344033 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.344095 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.344121 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.344168 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.344202 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.344248 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.344282 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.344336 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.344366 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.344420 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.344452 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.344512 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.344542 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.344598 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.344633 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.344692 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.344725 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.344800 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.344832 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.344887 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.344918 Upload file chunk start for: ./filetest/
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:11:26.344973 File Chunk written: ./filetest/test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:11:26.345010 Upload file chunk start for: ./filetest/
